"id","name","category","brand","issues","purpose","status","condition","dailyRentalPrice","createdAt","imageURL","role","description","image"
"0CUzbEBt7SUoYOOuT5jc","소니 f950 배터리","Battery","Sony","","","available","정상","","{""_seconds"":1743404019,""_nanoseconds"":790000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743404017821_4ba0e43b46.jpg?alt=media&token=a8275934-5f03-46f2-bf32-61b078f2197d","admin","55",
"0Kqjn2zxnkwjQC4bHnwU","니콘 en-el9 배터리 (a)","Battery","Nikon","니콘 3000D, 5000D 호환","","available","정상","","{""_seconds"":1743402066,""_nanoseconds"":136000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743402063953_4a310d2d26.jpg?alt=media&token=e37bcf0e-b368-409b-8232-537e1f25235f",,"44",
"0YSTrU64LoQNFI4aiEiY","소니 FE 시그마 c 28-70mm DG DN F2.8","Filming","Sony","","","available","정상","","{""_seconds"":1743399021,""_nanoseconds"":563000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743612446116_13473299_1.avif?alt=media&token=6b220f47-242c-491a-b5bb-4c79cc9d627e",,"14",
"0wKghvdXFfJod5wZqsE7","ZOOM H2N 보이스레코더 (b)","Sound","Zoom","","","available","정상","","{""_seconds"":1743405057,""_nanoseconds"":196000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743610148207_7322812_1.jpg?alt=media&token=77d0555e-7888-47e7-bcaf-52dcf29953d9",,"72",
"0x2LSynnX5A8Iej4BzMi","탐론 EF-S 17-50mm F 2.8 (a)","Filming","Tamron","전면뚜껑 없음","","available","주의","","{""_seconds"":1743397554,""_nanoseconds"":129000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743397551726_141263_1.avif?alt=media&token=ca6b22eb-a413-419d-8537-cde79b892820",,"17",
"1MwOrZLdCuTf06xiS3A3","소니 FE 55mm F1.8 ZA","Filming","Sony","전면뚜껑 없음","","available","주의","","{""_seconds"":1743397671,""_nanoseconds"":114000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743397669103_1000570543015_i1_1200.jpg?alt=media&token=38d4cbba-9894-4431-8b7a-43a09c7600f1",,"15",
"1dYpZjBzPqtkHht4Hu6V","미디어 컨트롤러 APC40","Sound","Akai","","","available","정상","","{""_seconds"":1743405427,""_nanoseconds"":442000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743612651174_e4abd51cf0023fb3bf4b4d710f814f02.jpg?alt=media&token=b43edb65-f498-49a0-b255-c4450ff80a48",,"77",
"1keGuQOE7m1QetkP9jZi","LED 조명 (d)","Lighting","","","","available","정상","","{""_seconds"":1744384010,""_nanoseconds"":109000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1744384009300_6230087_1.avif?alt=media&token=fb4503c9-88dc-4a06-9ddc-590d8871c708",,"33",""
"29tTp9TpqBkO8shHL4Nu","LED 조명 (a)","Lighting","","","","available","정상","","{""_seconds"":1744383973,""_nanoseconds"":831000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1744383973060_6230087_1.avif?alt=media&token=de861c54-c8f2-43cb-afb7-28a4aea684ab",,"30",""
"2GMuqqrH8xXrqko3RJPo","ATH-M40X 헤드폰","Sound","Audio-technica","","","available","정상","","{""_seconds"":1743405329,""_nanoseconds"":119000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743612621007_2563500_1.avif?alt=media&token=7f0b7b0d-e910-4c4b-af5d-8037aecc4c65",,"76",
"2kCOelZrLMG2cjpFWpm9","카메라 가방 (h)","ETC","","상기 사진과 다를 수 있습니다.","","available","정상","","{""_seconds"":1743488468,""_nanoseconds"":866000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743612691081_3197023_1.avif?alt=media&token=049eb220-5da4-4ee9-b2df-8b0cc801d258",,"100",
"2yixYtnutCX9iYIJNhuF","캐논 EOS 7D (b)","Filming","Canon","cf카드","","available","정상","","{""_seconds"":1743396811,""_nanoseconds"":253000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743396809350_930951_1.avif?alt=media&token=9aea40b8-b00c-4c3e-b8e9-1313dc48d553",,"5",
"3SWGk5j9gBrs5HigkosE","삼양 EF VDSLR 14mm F2.8","Filming","Samyang","","","available","정상","","{""_seconds"":1743398516,""_nanoseconds"":463000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743398514804_8cc5e3d271eee58760b87fd6fba0304cea4c8ef8ebb7f59cd0e7163cfeb2.jpg?alt=media&token=78b63307-1dbc-4993-b8cc-4c28aa114a53",,"19",
"4gJRG9RDmROB15Ifm5sm","Nikon 배터리 차저 (c)","Battery","","","","available","정상","","{""_seconds"":1743484794,""_nanoseconds"":842000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743616798319_shopping.avif?alt=media&token=f9a14165-154e-41f0-be82-b838d1f5cc84",,"66",
"5U3EqHNaQD4PHtDLqyuZ","캐논 60D","Filming","Canon","","","available","수리","","{""_seconds"":1743074115,""_nanoseconds"":3000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743074112947_1169450_1.avif?alt=media&token=6c2da6ac-adf4-4984-8dc1-1331c4425daf",,"4",
"5y3OPZ7vvWYNVO1y90yT","Mini 매트박스","ETC","","구경 95mm","","available","정상","","{""_seconds"":1743401286,""_nanoseconds"":978000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743613612711_897_temp_16480179589497view.jpg?alt=media&token=be5e996a-fab7-4b24-b67b-c21d963ad0a7",,"39",
"6oHlmkzHY8d1TjGtLaIv","DJI 로닌 RS 2 짐벌","Filming","Dji","2020","","available","정상","","{""_seconds"":1743399886,""_nanoseconds"":611000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743613634036_12480191_1.avif?alt=media&token=0e390aef-637c-4786-9536-ce9681ae9a07",,"26",
"742m3QlZYRMGpgQ1NkwU","sd 카드 리더기 (a)","ETC","","","","available","정상","","{""_seconds"":1743484640,""_nanoseconds"":503000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743616900985_1939422_1.avif?alt=media&token=46ca06be-ccca-4803-a982-8231251a9aea",,"59",
"7SHADbaMzEfvM7jgHdmR"," V 마운트 배터리 (c)","Battery","Farseeing","14.8V / 8000mah / 120Wh","","available","정상","","{""_seconds"":1743403503,""_nanoseconds"":808000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743404085833_1566991068.jpg?alt=media&token=a851bf2b-9099-4ea6-8d89-9c82474551ae",,"50",
"7TXQMSLJdqG2AFzCAk7C","sd 카드 리더기 (d)","ETC","","상기 이미지와 다를 수 있습니다","","available","정상","","{""_seconds"":1743484731,""_nanoseconds"":745000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743617109161_1939422_1.avif?alt=media&token=f850c4a9-f77e-450e-afdc-449b563ad3ae",,"62",
"8IFpEHNZaGZkyVd7BZLS","삼성 gear 360 (b)","Filming","samsung","","","available","정상","","{""_seconds"":1743397369,""_nanoseconds"":562000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743397368526_1642684248.jpg?alt=media&token=55e2f4de-c420-4448-8a00-eaf54789a853",,"11",
"8dnbRDDZQUnAwDIMK1G4","카메라 가방 (g)","ETC","","상기 이미지와 다를 수 있습니다","","available","정상","","{""_seconds"":1743488441,""_nanoseconds"":153000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743617131622_3197023_1.avif?alt=media&token=94510909-96b4-4aa1-b7d4-654ecf86e9f3",,"99",
"8gxeGMT3Z2vV4VbxwNf3","H4n Pro 녹음기","Sound","Zoom","","","available","정상","","{""_seconds"":1743405513,""_nanoseconds"":38000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743613657620_7057603_1.avif?alt=media&token=cb2a7a89-6414-4ea5-ac89-981ce859ab1b",,"79",
"ADad9nyqULG0dCCq2hEX","V 마운트 배터리 (a)","Battery","Sony","14.4V / 6600mah (활용이 원활하지 않음 사용 권장 X)","","available","정상","","{""_seconds"":1743402997,""_nanoseconds"":232000000}","https://firebasestorage.googleapis.com/v0/b/equipment-rental-system-838f0.firebasestorage.app/o/camera-images%2F1743402994607_sobpgl95.jpg?alt=media&token=fa5c1118-b48e-4612-9163-f7704abd53fa",,"100",
